"","weeklyNewCasesPer100k","infectionRate","date","statename"
"1",0,0,2020-03-01,"AK"
"2",11.5,1.04,2020-04-01,"AK"
"3",3.4,0.68,2020-05-01,"AK"
"4",8.7,1.36,2020-06-01,"AK"
"5",33.9,1.23,2020-07-01,"AK"
"6",131.1,0.95,2020-08-01,"AK"
"7",66.7,1.01,2020-09-01,"AK"
"8",112.5,1.19,2020-10-01,"AK"
"9",359.4,1.16,2020-11-01,"AK"
"10",574.5,1.02,2020-12-01,"AK"
"11",284.7,0.96,2021-01-01,"AK"
"12",140.8,0.93,2021-02-01,"AK"
"13",124.8,0.99,2021-03-01,"AK"
"14",167.7,1.07,2021-04-01,"AK"
"15",139.7,0.85,2021-05-01,"AK"
"16",35.7,0.84,2021-06-01,"AK"
"17",35.2,1.19,2021-07-01,"AK"
"18",243.5,1.15,2021-08-01,"AK"
"19",524.8,1.08,2021-09-01,"AK"
"20",1090.7,0.97,2021-10-01,"AK"
"21",607.5,0.88,2021-11-01,"AK"
"22",251.1,0.85,2021-12-01,"AK"
"23",419.5,1.51,2022-01-01,"AK"
"24",2078.2,0.8,2022-02-01,"AK"
"25",312.4,0.76,2022-03-01,"AK"
"26",183.7,0.95,2022-04-01,"AK"
"27",201.1,1.02,2022-05-01,"AK"
"28",274.6,1.04,2022-06-01,"AK"
"29",416.1,1.05,2022-07-01,"AK"
"30",403.4,0.98,2022-08-01,"AK"
"31",188,0.85,2022-09-01,"AK"
"32",88.1,0.9,2022-10-01,"AK"
"33",50.4,0.91,2022-11-01,"AK"
"34",58.1,1.01,2022-12-01,"AK"
"35",48.2,1.06,2023-01-01,"AK"
"36",105.3,1.03,2023-02-01,"AK"
"37",64,0.9,2023-03-01,"AK"
"38",63.6,0.9,2023-04-01,"AK"
"39",0,0,2020-03-01,"AL"
"40",14.7,1.44,2020-04-01,"AL"
"41",25.9,1.08,2020-05-01,"AL"
"42",72.4,1.09,2020-06-01,"AL"
"43",140.7,1.18,2020-07-01,"AL"
"44",228.8,0.92,2020-08-01,"AL"
"45",211.6,0.96,2020-09-01,"AL"
"46",121,1.02,2020-10-01,"AL"
"47",0,1.08,2020-11-01,"AL"
"48",327,1.13,2020-12-01,"AL"
"49",475.6,1.01,2021-01-01,"AL"
"50",364.1,0.84,2021-02-01,"AL"
"51",127.4,0.86,2021-03-01,"AL"
"52",55.6,0.88,2021-04-01,"AL"
"53",49.2,0.97,2021-05-01,"AL"
"54",30.2,1.01,2021-06-01,"AL"
"55",30.1,1.25,2021-07-01,"AL"
"56",341.4,1.24,2021-08-01,"AL"
"57",639.2,1,2021-09-01,"AL"
"58",282.2,0.73,2021-10-01,"AL"
"59",72.9,0.88,2021-11-01,"AL"
"60",42.8,1.08,2021-12-01,"AL"
"61",713.7,1.48,2022-01-01,"AL"
"62",1226,0.69,2022-02-01,"AL"
