"","state","lat","long","population","total_cases","total_deaths"
"1","AK",NA,NA,731545,296202,1468
"2","AL",NA,NA,4903185,1652469,21131
"3","AR",NA,NA,3017804,991010,13074
"4","AZ",NA,NA,7278717,2457251,33258
"5","CA",NA,NA,39512223,12194519,101313
"6","CO",NA,NA,5758736,1774300,14290
"7","CT",NA,NA,3565287,979829,12294
"8","DC",NA,NA,705749,178502,1433
"9","DE",NA,NA,973764,333377,3365
"10","FL",NA,NA,21477737,7542869,87141
"11","GA",NA,NA,10617423,3078512,42657
"12","HI",NA,NA,1415872,370188,1829
"13","IA",NA,NA,3155070,908936,10797
"14","ID",NA,NA,1787065,524068,5466
"15","IL",NA,NA,12671821,4116356,41758
"16","IN",NA,NA,6732219,2063117,26307
"17","KS",NA,NA,2913314,942750,10154
"18","KY",NA,NA,4467673,1729080,18349
"19","LA",NA,NA,4648794,1590877,18876
"20","MA",NA,NA,6892503,2234951,24541
"21","MD",NA,NA,6045680,1373082,16652
"22","ME",NA,NA,1344212,321246,2979
"23","MI",NA,NA,9986857,3089377,42525
"24","MN",NA,NA,5639632,1788628,14624
"25","MO",NA,NA,6137428,1780715,22778
"26","MP",NA,NA,53605,13789,43
"27","MS",NA,NA,2976149,994313,13419
"28","MT",NA,NA,1068778,332413,3700
"29","NC",NA,NA,10488084,3489160,28926
"30","ND",NA,NA,762062,289329,2496
"31","NE",NA,NA,1934408,572625,5031
"32","NH",NA,NA,1359711,380401,3027
"33","NJ",NA,NA,8882190,3063929,36082
"34","NM",NA,NA,2096829,675955,9132
"35","NV",NA,NA,3080156,894793,11973
"36","NY",NA,NA,19453561,6816574,77312
"37","OH",NA,NA,11689100,3421608,41967
"38","OK",NA,NA,3956971,1298509,15909
"39","OR",NA,NA,4217737,970148,9479
"40","PA",NA,NA,12801989,3547969,50780
"41","PR",NA,NA,3193694,1109596,5864
"42","RI",NA,NA,1059361,440168,3894
"43","SC",NA,NA,5148714,1844323,19748
"44","SD",NA,NA,884659,281443,3214
"45","TN",NA,NA,6829174,2529607,29409
"46","TX",NA,NA,28995881,8469089,93485
"47","UT",NA,NA,3205958,1094432,5325
"48","VA",NA,NA,8535519,2302652,23714
"49","VT",NA,NA,623989,153662,943
"50","WA",NA,NA,7614893,1946946,15946
"51","WI",NA,NA,5822434,2021090,16472
"52","WV",NA,NA,1792147,647881,8067
"53","WY",NA,NA,578759,186166,2020
