"","statename","year","month","mon_hp_capacity","mon_hp_usage","date","mon_hp_prop"
"1","AK","2020","03",0,0,2020-03-01,0
"2","AK","2020","04",0,0,2020-04-01,0
"3","AK","2020","05",0,0,2020-05-01,0
"4","AK","2020","06",0,0,2020-06-01,0
"5","AK","2020","07",0,0,2020-07-01,0
"6","AK","2020","08",0,0,2020-08-01,0
"7","AK","2020","09",0,0,2020-09-01,0
"8","AK","2020","10",39681,24553,2020-10-01,0.618759607872785
"9","AK","2020","11",46082,28584,2020-11-01,0.620285577882904
"10","AK","2020","12",48931,28633,2020-12-01,0.585170955018291
"11","AK","2021","01",49784,27207,2021-01-01,0.546500883818094
"12","AK","2021","02",44724,28251,2021-02-01,0.63167426884894
"13","AK","2021","03",49667,28801,2021-03-01,0.57988201421467
"14","AK","2021","04",48745,29037,2021-04-01,0.595691865832393
"15","AK","2021","05",50046,32144,2021-05-01,0.642289094033489
"16","AK","2021","06",47550,29862,2021-06-01,0.62801261829653
"17","AK","2021","07",48965,31951,2021-07-01,0.652527315429388
"18","AK","2021","08",48961,33025,2021-08-01,0.674516451869856
"19","AK","2021","09",46267,33235,2021-09-01,0.718330559578101
"20","AK","2021","10",47920,35569,2021-10-01,0.742257929883139
"21","AK","2021","11",45962,32975,2021-11-01,0.717440494321396
"22","AK","2021","12",47871,34588,2021-12-01,0.722525119592237
"23","AK","2022","01",47119,35212,2022-01-01,0.747299390903882
"24","AK","2022","02",44059,32973,2022-02-01,0.748382850268958
"25","AK","2022","03",55350,42864,2022-03-01,0.774417344173442
"26","AK","2022","04",54387,41032,2022-04-01,0.754444996046849
"27","AK","2022","05",55468,42808,2022-05-01,0.771760294223697
"28","AK","2022","06",53008,40254,2022-06-01,0.759394808330818
"29","AK","2022","07",52277,39588,2022-07-01,0.757273753275819
"30","AK","2022","08",56203,44655,2022-08-01,0.79453054107432
"31","AK","2022","09",51739,41537,2022-09-01,0.802817990297454
"32","AK","2022","10",52112,41748,2022-10-01,0.801120663186982
"33","AK","2022","11",53576,41973,2022-11-01,0.783429147379424
"34","AK","2022","12",48019,37580,2022-12-01,0.782606884774777
"35","AK","2023","01",42899,32509,2023-01-01,0.757803212196088
"36","AK","2023","02",39449,30004,2023-02-01,0.760576947451139
"37","AK","2023","03",44317,33420,2023-03-01,0.754112417356771
"38","AK","2023","04",13236,10063,2023-04-01,0.760275007555153
"39","AL","2020","03",0,0,2020-03-01,0
"40","AL","2020","04",0,0,2020-04-01,0
"41","AL","2020","05",0,0,2020-05-01,0
"42","AL","2020","06",0,0,2020-06-01,0
"43","AL","2020","07",0,0,2020-07-01,0
"44","AL","2020","08",0,0,2020-08-01,0
"45","AL","2020","09",451072,318026,2020-09-01,0.705044870885357
"46","AL","2020","10",467815,342865,2020-10-01,0.732907238972671
"47","AL","2020","11",462384,341191,2020-11-01,0.737895342399391
"48","AL","2020","12",480156,363444,2020-12-01,0.756928998075625
"49","AL","2021","01",478246,371259,2021-01-01,0.776292953835474
"50","AL","2021","02",428740,320741,2021-02-01,0.748101413444045
"51","AL","2021","03",474651,340836,2021-03-01,0.718077071364013
"52","AL","2021","04",461147,332449,2021-04-01,0.720917624965575
"53","AL","2021","05",474549,346408,2021-05-01,0.729973090239364
"54","AL","2021","06",457665,336379,2021-06-01,0.734989566604394
"55","AL","2021","07",472290,351765,2021-07-01,0.744807215905482
"56","AL","2021","08",471693,373254,2021-08-01,0.791307057768506
"57","AL","2021","09",455080,357868,2021-09-01,0.786384811461721
"58","AL","2021","10",469886,351397,2021-10-01,0.747834581153727
"59","AL","2021","11",455302,336528,2021-11-01,0.739131389714958
"60","AL","2021","12",470244,349425,2021-12-01,0.743071681935336
"61","AL","2022","01",465457,358756,2022-01-01,0.770760779191203
"62","AL","2022","02",420574,324478,2022-02-01,0.771512266569022
"63","AL","2022","03",465424,337116,2022-03-01,0.724320189762453
"64","AL","2022","04",449306,318376,2022-04-01,0.708595033229024
"65","AL","2022","05",460539,330316,2022-05-01,0.717237845220492
"66","AL","2022","06",444545,325636,2022-06-01,0.73251526842052
"67","AL","2022","07",456407,337322,2022-07-01,0.739081565357236
"68","AL","2022","08",452508,341603,2022-08-01,0.754910410423683
"69","AL","2022","09",416834,311397,2022-09-01,0.747052783602105
"70","AL","2022","10",423908,312862,2022-10-01,0.738042216707399
"71","AL","2022","11",404728,299996,2022-11-01,0.741228677037418
"72","AL","2022","12",400395,297294,2022-12-01,0.742501779492751
"73","AL","2023","01",383871,292467,2023-01-01,0.761888759505146
"74","AL","2023","02",345264,262843,2023-02-01,0.761281222484823
"75","AL","2023","03",381783,284602,2023-03-01,0.745454878818596
"76","AL","2023","04",123246,90976,2023-04-01,0.738165944533697
"77","AR","2020","04",0,0,2020-04-01,0
"78","AR","2020","05",0,0,2020-05-01,0
